x,y
0.05,0.02
0.060101,0.0142424
0.070202,0.00848485
0.080303,0.00272727
0.090404,-0.0030303
0.100505,-0.00878788
0.110606,-0.0145455
0.120707,-0.020303
0.130808,-0.0260606
0.140909,-0.0318182
0.15101,-0.0375758
0.161111,-0.0433333
0.171212,-0.0490909
0.181313,-0.0548485
0.191414,-0.0606061
0.201515,-0.0663636
0.211616,-0.0721212
0.221717,-0.0778788
0.231818,-0.0836364
0.241919,-0.0893939
0.25202,-0.0951515
0.262121,-0.100909
0.272222,-0.106667
0.282323,-0.112424
0.292424,-0.118182
0.302525,-0.123939
0.312626,-0.129697
0.322727,-0.135455
0.332828,-0.141212
0.342929,-0.14697
0.35303,-0.152727
0.363131,-0.158485
0.373232,-0.164242
0.383333,-0.17
0.393434,-0.175758
0.403535,-0.181515
0.413636,-0.187273
0.423737,-0.19303
0.433838,-0.198788
0.443939,-0.204545
0.45404,-0.210303
0.464141,-0.216061
0.474242,-0.221818
0.484343,-0.227576
0.494444,-0.233333
0.504545,-0.239091
0.514646,-0.244848
0.524747,-0.250606
0.534848,-0.256364
0.544949,-0.262121
0.555051,-0.267879
0.565152,-0.273636
0.575253,-0.279394
0.585354,-0.285152
0.595455,-0.290909
0.605556,-0.296667
0.615657,-0.302424
0.625758,-0.308182
0.635859,-0.313939
0.64596,-0.319697
0.656061,-0.325455
0.666162,-0.331212
0.676263,-0.33697
0.686364,-0.342727
0.696465,-0.348485
0.706566,-0.354242
0.716667,-0.36
0.726768,-0.365758
0.736869,-0.371515
0.74697,-0.377273
0.757071,-0.38303
0.767172,-0.388788
0.777273,-0.394545
0.787374,-0.400303
0.797475,-0.406061
0.807576,-0.411818
0.817677,-0.417576
0.827778,-0.423333
0.837879,-0.429091
0.84798,-0.434848
0.858081,-0.440606
0.868182,-0.446364
0.878283,-0.452121
0.888384,-0.457879
0.898485,-0.463636
0.908586,-0.469394
0.918687,-0.475152
0.928788,-0.480909
0.938889,-0.486667
0.94899,-0.492424
0.959091,-0.498182
0.969192,-0.503939
0.979293,-0.509697
0.989394,-0.515455
0.999495,-0.521212
1.0096,-0.52697
1.0197,-0.532727
1.0298,-0.538485
1.0399,-0.544242
1.05,-0.55
